head,head,head,head,head,head
0,0.1,17.64705882,21.42857143,0.2,0.3
0,0,5.882352941,20,0,0
0,0,14.28571429,25,0,0
0,0,11.76470588,16.66666667,0,0
0,0,14.28571429,25,0,0
0,0,5,20,0,0
0,0,17.64705882,33.33333333,0,0
0,0,7.142857143,12.5,0,0
0,0,11.76470588,25,0,0
0,0,14.28571429,20,0,0
0,0,0,0,0,0
0,0,7.142857143,8.333333333,0,0
0,0,7.142857143,12.5,0,0
0,0,20,33.33333333,0,0
0,0,8.333333333,7.692307692,0,0
0,0,16.66666667,25,0,0
0,0,13.33333333,22.22222222,0,0
0,0,8.333333333,11.11111111,0,0
0,0,6.666666667,10,0,0
0,0,5.263157895,10,0,0
0,0,7.692307692,11.11111111,0,0
0,0,10.52631579,15.38461538,0,0
0,0,6.666666667,16.66666667,0,0
0,0,6.666666667,10,0,0
0,0,4.761904762,10,0,0
0,0,16.66666667,22.22222222,0,0
0,0,7.692307692,11.11111111,0,0
0,0,16.66666667,25,0,0
0,0,7.142857143,10,0,0
0,0,6.666666667,10,0,0
0,0,14.28571429,22.22222222,0,0
0,0,14.28571429,22.22222222,0,0
0,0,0,0,0,0
0,0,7.142857143,14.28571429,0,0
0,0,5.882352941,14.28571429,0,0
16.66666667,25,6.666666667,20,0,0
0,0,8.333333333,12.5,0,0
0,0,7.142857143,10,0,0
0,0,26.66666667,28.57142857,0,0
0,0,5.263157895,10,0,0
0,0,23.52941176,33.33333333,0,0
0,0,7.142857143,12.5,0,0
0,0,14.28571429,22.22222222,0,0
0,0,14.28571429,28.57142857,0,0
33.33333333,50,6.666666667,11.11111111,0,0
0,0,9.090909091,6.666666667,0,0
0,0,8.333333333,14.28571429,0,0
0,0,8.333333333,9.090909091,0,0
0,0,16.66666667,60,0,0
0,0,17.64705882,21.42857143,0,0
0,0,23.07692308,21.42857143,0,0
0,0,5.882352941,12.5,0,0
0,0,5.882352941,14.28571429,0,0
0,0,6.666666667,12.5,0,0
0,0,7.692307692,33.33333333,0,0
0,0,8.333333333,6.666666667,0,0
0,0,21.42857143,37.5,0,0
0,0,14.28571429,22.22222222,0,0
0,0,14.28571429,25,0,0
0,0,5.263157895,14.28571429,0,0
50,100,22.22222222,40,0,0
0,0,23.52941176,40,0,0
0,0,7.142857143,11.11111111,0,0
0,0,10,20,0,0
0,0,7.142857143,16.66666667,0,0
0,0,7.142857143,14.28571429,0,0
0,0,12.5,13.33333333,0,0
0,0,14.28571429,13.33333333,0,0
0,0,6.666666667,12.5,0,0
0,0,7.142857143,16.66666667,0,0
0,0,7.142857143,12.5,0,0
0,0,14.28571429,25,0,0
0,0,10,20,0,0
0,0,22.22222222,16.66666667,0,0
0,0,7.142857143,5.882352941,0,0
0,0,15.78947368,30,0,0
0,0,5.882352941,20,0,0
16.66666667,25,11.11111111,10,0,0
0,0,6.666666667,10,0,0
0,0,9.523809524,22.22222222,0,0
0,0,4.761904762,9.090909091,0,0
0,0,6.25,11.11111111,0,0
0,0,35.71428571,33.33333333,0,0
0,0,13.33333333,18.18181818,0,0
0,0,0,0,0,0
0,0,7.142857143,11.11111111,0,0
0,0,7.142857143,12.5,0,0
0,0,6.666666667,8.333333333,0,0
0,0,6.666666667,16.66666667,0,0
0,0,5,12.5,0,0
0,0,7.692307692,11.11111111,0,0
0,0,7.692307692,10,0,0
0,0,11.76470588,13.33333333,0,0
0,0,13.33333333,22.22222222,0,0
0,0,14.28571429,14.28571429,0,0
0,0,20,30,0,0
0,0,14.28571429,13.33333333,0,0
0,0,9.523809524,15.38461538,0,0
0,0,20,37.5,0,0
0,0,7.692307692,14.28571429,0,0
0,0,16.66666667,25,0,0
0,0,11.11111111,16.66666667,0,0
0,0,5.263157895,12.5,0,0
0,0,4.761904762,12.5,0,0
0,0,13.33333333,12.5,0,0
0,0,13.33333333,22.22222222,0,0
0,0,7.692307692,16.66666667,0,0
0,0,5.263157895,10,0,0
0,0,15.38461538,13.33333333,0,0
0,0,13.33333333,20,0,0
0,0,11.76470588,18.18181818,0,0
0,0,6.666666667,10,0,0
0,0,26.66666667,40,0,0
0,0,7.692307692,25,0,0
0,0,6.666666667,16.66666667,0,0
0,0,6.666666667,16.66666667,0,0
0,0,6.666666667,12.5,0,0
0,0,11.11111111,15.38461538,0,0
0,0,11.76470588,28.57142857,0,0
33.33333333,33.33333333,5.882352941,12.5,0,0
0,0,17.64705882,20,0,0
0,0,7.692307692,9.090909091,0,0
0,0,17.64705882,37.5,0,0
0,0,23.52941176,57.14285714,0,0
0,0,7.142857143,16.66666667,0,0
50,33.33333333,9.523809524,22.22222222,0,0
0,0,13.33333333,25,0,0
0,0,11.11111111,16.66666667,0,0
0,0,33.33333333,33.33333333,0,0
0,0,7.692307692,9.090909091,0,0
0,0,7.142857143,16.66666667,0,0
0,0,25,30,0,0
0,0,7.142857143,16.66666667,0,0
0,0,6.25,16.66666667,0,0
0,0,9.090909091,11.11111111,0,0
0,0,16.66666667,22.22222222,0,0
0,0,7.142857143,16.66666667,0,0
0,0,6.666666667,10,0,0
0,0,13.33333333,20,0,0
0,0,7.142857143,14.28571429,0,0
0,0,7.692307692,12.5,0,0
0,0,6.666666667,7.142857143,0,0
0,0,11.11111111,11.11111111,0,0
0,0,22.22222222,20,0,0
0,0,7.692307692,14.28571429,0,0
0,0,5.882352941,14.28571429,0,0
0,0,6.666666667,10,0,0
0,0,0,0,0,0
0,0,19.04761905,57.14285714,0,0
0,0,6.666666667,11.11111111,0,0
0,0,5.882352941,14.28571429,0,0
0,0,20,16.66666667,0,0
0,0,11.76470588,33.33333333,0,0
0,0,14.28571429,16.66666667,0,0
0,0,20,22.22222222,0,0
0,0,14.28571429,40,0,0
0,0,6.666666667,12.5,0,0
0,0,14.28571429,18.18181818,0,0
0,0,18.18181818,15.38461538,0,0
0,0,15.78947368,42.85714286,0,0
0,0,15.78947368,42.85714286,0,0
0,0,5.882352941,12.5,0,0
0,0,6.666666667,8.333333333,0,0
0,0,0,0,0,0
0,0,7.692307692,8.333333333,0,0
0,0,14.28571429,13.33333333,0,0
0,0,9.523809524,22.22222222,0,0
0,0,8.333333333,12.5,0,0
0,0,13.33333333,20,0,0
0,0,7.142857143,10,0,0
0,0,7.692307692,14.28571429,0,0
0,0,27.27272727,27.27272727,0,0
0,0,7.142857143,12.5,0,0
0,0,13.33333333,25,0,0
0,0,7.142857143,11.11111111,0,0
0,0,11.76470588,33.33333333,0,0
0,0,11.11111111,14.28571429,0,0
0,0,7.142857143,7.692307692,0,0
0,0,16.66666667,33.33333333,0,0
0,0,8.333333333,12.5,0,0
0,0,6.25,7.142857143,0,0
0,0,13.33333333,22.22222222,0,0
0,0,13.33333333,25,0,0
0,0,36.84210526,70,0,0
0,0,7.142857143,20,0,0
0,0,10,14.28571429,0,0
0,0,5.263157895,11.11111111,0,0
0,0,20,27.27272727,100,50
0,0,6.666666667,7.142857143,0,0
0,0,21.42857143,18.75,0,0
0,0,14.28571429,28.57142857,0,0
0,0,10.52631579,28.57142857,0,0
0,0,21.42857143,33.33333333,0,0
0,0,22.22222222,44.44444444,0,0
0,0,6.25,12.5,0,0
0,0,9.090909091,9.090909091,0,0
0,0,11.76470588,33.33333333,0,0
0,0,7.142857143,12.5,0,0
0,0,0,0,0,0
0,0,13.33333333,25,0,0
0,0,7.142857143,14.28571429,0,0
0,0,13.33333333,15.38461538,0,0
0,0,17.64705882,25,0,0
0,0,7.142857143,8.333333333,0,0
0,0,20,20,0,0
0,0,15.38461538,20,0,0
0,0,8.333333333,16.66666667,0,0
0,0,21.42857143,37.5,0,0
0,0,10.52631579,40,0,0
0,0,5.882352941,16.66666667,0,0
0,0,6.666666667,10,0,0
0,0,5.882352941,10,0,0
14.28571429,16.66666667,14.28571429,14.28571429,0,0
0,0,13.33333333,25,0,0
0,0,5,10,0,0
0,0,28.57142857,57.14285714,0,0
0,0,6.666666667,11.11111111,0,0
0,0,8.333333333,16.66666667,0,0
0,0,7.692307692,16.66666667,0,0
0,0,5.882352941,14.28571429,0,0
0,0,7.692307692,12.5,0,0
0,0,5.263157895,9.090909091,0,0
0,0,5.882352941,16.66666667,0,0
0,0,9.090909091,14.28571429,0,0
0,0,18.18181818,15.38461538,0,0
0,0,5.882352941,12.5,0,0
0,0,10,13.33333333,0,0
0,0,8.333333333,8.333333333,0,0
0,0,7.142857143,6.25,0,0
0,0,13.33333333,28.57142857,0,0
0,0,10.52631579,22.22222222,0,0
0,0,14.28571429,20,0,0
0,0,16.66666667,50,0,0
0,0,11.11111111,22.22222222,0,0
0,0,17.64705882,37.5,0,0
0,0,7.142857143,12.5,0,0
0,0,27.27272727,21.42857143,0,0
0,0,14.28571429,20,0,0
0,0,9.090909091,7.142857143,0,0
0,0,13.33333333,13.33333333,0,0
0,0,6.666666667,11.11111111,0,0
0,0,16.66666667,22.22222222,0,0
0,0,15,42.85714286,0,0
0,0,7.692307692,33.33333333,0,0
0,0,13.33333333,20,0,0
0,0,14.28571429,21.42857143,0,0
0,0,7.142857143,14.28571429,0,0
0,0,13.33333333,33.33333333,0,0
0,0,17.64705882,23.07692308,0,0
0,0,14.28571429,22.22222222,0,0
0,0,7.692307692,14.28571429,0,0
0,0,14.28571429,18.18181818,0,0
0,0,29.41176471,35.71428571,0,0
0,0,5,7.692307692,0,0
0,0,23.07692308,21.42857143,0,0
0,0,11.76470588,16.66666667,0,0
0,0,14.28571429,22.22222222,0,0
0,0,10.52631579,25,0,0
0,0,13.33333333,25,0,0
0,0,16.66666667,20,0,0
0,0,8.333333333,10,0,0
0,0,9.090909091,11.11111111,0,0
0,0,11.11111111,12.5,0,0
0,0,5.882352941,14.28571429,0,0
0,0,6.666666667,14.28571429,0,0
0,0,5.882352941,9.090909091,0,0
0,0,6.666666667,16.66666667,0,0
0,0,6.666666667,11.11111111,0,0
0,0,7.142857143,16.66666667,0,0
0,0,14.28571429,22.22222222,0,0
0,0,18.18181818,20,0,0
0,0,28.57142857,50,0,0
0,0,7.692307692,6.666666667,0,0
0,0,0,0,0,0
0,0,13.33333333,25,0,0
0,0,7.692307692,16.66666667,0,0
0,0,7.142857143,12.5,0,0
0,0,5,11.11111111,0,0
0,0,11.11111111,25,0,0
0,0,7.692307692,11.11111111,0,0
0,0,6.666666667,12.5,0,0
0,0,21.42857143,33.33333333,0,0
0,0,15.38461538,20,0,0
0,0,7.692307692,10,0,0
0,0,7.142857143,16.66666667,0,0
0,0,21.42857143,60,0,0
0,0,6.666666667,16.66666667,0,0
0,0,14.28571429,15.38461538,0,0
0,0,6.25,9.090909091,0,0
0,0,12.5,25,0,0
0,0,5.882352941,12.5,0,0
0,0,7.692307692,16.66666667,0,0
0,0,9.090909091,7.142857143,0,0
0,0,7.142857143,20,0,0
0,0,17.64705882,30,0,0
0,0,9.090909091,9.090909091,0,0
0,0,23.07692308,20,0,0
0,0,7.692307692,10,0,0
0,0,13.33333333,22.22222222,0,0
0,0,14.28571429,18.18181818,0,0
0,0,6.25,10,0,0
